name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Hoang Thi Oanh,BFT309577,2.0,2.0,2.0,140.93,423.0,107.94,0.0,1.0,0.4,0.19,8537.0,92000000,570311.9197,92558527,27/4/25,2/9/93,8b552fa5cbc657798d0c7df7f327341f
Bui Van Nhon,BFT122424,3.0,2.0,2.0,71.78,693.0,125.77,1.0,1.0,0.56,0.29,9669.0,75000000,4719983.0,79719983,21/12/24,26/6/83,e030fdb772c9d276b25446b26072cffc
Nguyen Thi Phuong,BFT610454,3.0,4.0,1.0,149.02,350.0,85.97,2.0,0.0,0.36,0.15,5855.0,45000000,530481.52,45504260,1/2/25,15/11/89,2310dcfd45b89711781c9cec6548d3c6
Le Van Minh,BFT241968,4.0,2.0,0.0,138.57,414.0,62.15,0.0,1.0,0.39,0.18,4286.0,87000000,-5308529.788,81382045,8/1/25,5/9/81,510df02b6f3cf41111d1d883778c6755
Nguyen Van Tan,BFT436125,0.0,2.0,1.0,64.91,900.0,53.4,3.0,0.0,0.69,0.38,13152.0,250000000,1.006032413E7,259605045,19/9/24,16/3/85,103df1d141e0f30dde792719377584ab
Do Van Nhan,BFT165771,4.0,2.0,0.0,181.9,847.0,78.41,2.0,2.0,0.66,0.37,9954.0,56000000,2160675.0,58104485,7/11/24,18/2/83,682ffc81648ce4833d4694f64fe6c749
Le Thi Cam,BFT528169,3.0,0.0,1.0,197.25,537.0,90.57,2.0,0.0,0.63,0.33,15745.0,45000000,659698.1672,45703975,2/2/25,16/6/85,24e6ee0e58f1a556bef186cc56a3422e
Le Van Sang,BFT825768,2.0,1.0,0.0,533.0,457.0,68.17,0.0,1.0,0.41,0.2,8718.0,120000000,-7681557.428,112855260,8/9/24,10/11/85,9496229ec9b995c5f366b6f43efe8066
Nguyen Van Thinh,BFT843704,2.0,2.0,0.0,192.52,976.0,96.36,3.0,0.0,0.74,0.41,9922.5,50000000,2666423.121,52723870,2/1/25,1/2/81,61d6cb34905b6a7f0bd2270e88298402
Le Van Tho,BFT377026,10.0,3.0,1.0,219.75,371.0,85.87,0.0,2.0,0.47,0.16,11127.0,250000000,5408784.529,255245610,13/4/25,17/4/89,eca98610947aac325b70359f6d5c30d0
