name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Vu Thi Canh,BFT501771,4.0,1.0,1.0,182.4,222.0,73.65,0.0,2.0,0.24,0.1,8426.0,65000000,-3539275.852,61442375,2/9/24,9/2/86,1fee8bc7b16988475da62ec75ec3adf5
Ngo Van Bon,BFT378528,4.0,2.0,1.0,92.32,716.0,108.1,2.0,1.0,0.59,0.3,8963.0,56000000,2924081.798,58961971,14/11/24,27/5/91,0fa9070edb079a06b59b03be9c06426a
Duong Van Kha,BFT817861,4.0,2.0,1.0,172.2,515.0,53.73,1.0,2.0,0.45,0.22,13258.0,50000000,-136918.0,49856675,13/12/24,7/7/82,5bf56716d88d292d6e051a6e2cf691a6
Vu Thi Kim,BFT700749,1.0,2.0,0.0,215.36,424.0,85.46,0.0,0.0,0.4,0.19,15923.0,45000000,-2489428.192,42510654,22/5/25,6/6/83,a872ac74e7e3a18dcb46f23ac069d48f
Bui Van Hoang,BFT363771,3.0,2.0,1.0,215.39,625.0,84.62,1.0,0.0,0.52,0.27,9325.0,65000000,456765.0,65456765,1/12/24,20/4/81,f690fcdd8eff9c9effeaf1662ad8cb8b
Do Thi Mai,BFT905333,4.0,2.0,0.0,86.89,331.0,88.1,0.0,0.0,0.27,0.14,16700.0,50000000,-3125932.678,47091190,7/10/24,28/9/87,049c3f70d62c83c93fa97674888e6d52
Hoang Van Dinh,BFT293543,4.0,3.0,2.0,98.37,504.0,81.26,1.0,0.0,0.45,0.22,7901.0,65000000,1609294.0,66685654,7/2/25,31/8/96,987f7b898e4a15f304ffa8098088ef1f
Ngo Van Huu,BFT387781,2.0,3.0,0.0,94.36,515.0,89.83,1.0,1.0,0.45,0.22,8435.0,65000000,-1077668.643,63908520,24/10/24,7/1/83,17111118fa7595bc09a14e10cdd6bdc3
Le Van Binh,BFT249862,3.0,4.0,0.0,187.38,180.0,93.52,0.0,3.0,0.2,0.1,14684.0,87000000,-2486522.0,84381230,29/12/24,12/11/80,9c2e35d0121189338e27a0d729066354
Duong Thi Thuy,BFT472442,3.0,1.0,1.0,177.43,651.0,80.63,1.0,1.0,0.54,0.28,10522.0,50000000,172621.0,50179608,14/2/25,13/11/86,b34a756c224f36bd1d245f0ba706899e
Vu Thi Nhi,BFT995448,3.0,2.0,1.0,74.3,336.0,105.7,0.0,1.0,0.59,0.15,13058.0,80000000,-1122328.0,78877672,7/7/24,29/9/83,c0a8e5e8a0ac080c97799b2728a17c37
Nguyen Van Tuan,BFT427189,4.0,4.0,1.0,146.04,610.0,40.6,1.0,2.0,0.52,0.26,11802.0,80000000,1598170.024,81543231,4/3/25,17/1/88,f1da2b16d38e8677b728d337dd5f8e68
Bui Thi Hoan,BFT540485,3.0,3.0,1.0,126.91,793.0,75.64,2.0,1.0,0.64,0.33,9656.0,250000000,1.3259232E7,262728455,14/8/24,1/5/88,eaeea3c47131e1a02c4b97e1724ef642
Dang Van Hoang,BFT330974,4.0,1.0,0.0,64.49,616.0,86.36,1.0,0.0,0.52,0.27,9916.0,56000000,-1435134.0,54514046,2/1/25,9/3/93,65b5e302e52927114126850b09a16d57
Duong Van Nghia,BFT995697,3.0,3.0,1.0,271.41,439.0,104.64,0.0,1.0,0.41,0.19,6057.0,45000000,-87477.0104,44905307,3/8/24,17/6/84,29bc38cae037cb48cd177aca78e77ef1
Nguyen Thi My,BFT354803,2.0,1.0,1.0,0.0,473.0,131.99,0.0,1.0,0.42,0.195,7954.0,65000000,-2329887.888,62533185,28/9/24,2/10/86,6f1096034aa04095e2e5fc771a7d10d2
Tran Van Hieu,BFT168375,0.0,2.0,0.0,157.68,461.0,77.46,0.0,2.0,0.42,0.2,9089.0,120000000,-6881025.326,113376624,31/3/25,2/10/00,fe80c3e22bd97ac9bca9cfc5634abed4
Hoang Van Duc,BFT605634,1.0,3.0,2.0,191.23,667.0,94.47,1.0,0.0,0.55,0.28,5936.0,92000000,3578892.0,95578892,15/11/24,1/5/91,fd85987907d58dae755d329e190551eb
Duong Thi Lien,BFT536416,2.0,2.0,1.0,194.89,807.0,51.55,2.0,1.0,0.65,0.35,4498.0,92000000,2092241.0,94092241,28/8/24,16/4/02,4266ba831b37920e88e2d318f8e4f89d
Pham Van Hoang,BFT910009,4.0,1.0,0.0,199.74,510.0,96.1,1.0,1.0,0.45,0.22,12849.0,50000000,-968593.0515,49020360,7/5/25,10/10/86,178d0be5538061c285d21e1afd874cea
Nguyen Thi Ngoc,BFT834303,4.0,2.0,0.0,71.33,528.0,86.28,1.0,1.0,0.46,0.23,8686.0,80000000,-1563213.686,78395552,16/8/24,15/11/85,667726ea1a6938729e3f5b46658f350e
Hoang Van Thanh,BFT505198,4.0,1.0,0.0,124.04,648.0,101.65,1.0,0.0,0.54,0.28,9708.0,80000000,-1066564.207,78940248,28/6/24,13/3/85,fcab13151457af2d5305b1b37ef47360
Nguyen Thi Hoai,BFT815175,3.0,2.0,1.0,29.73,299.0,117.55,0.0,2.0,0.6,0.13,10407.0,80000000,-615240.0,79384760,26/9/24,6/9/85,32870c68431cfb2e487b15374e2be0ac
Vu Van Phat,BFT573866,4.0,2.0,1.0,600.67,458.0,121.28,0.0,0.0,0.42,0.2,5183.0,100000000,520059.0,100503933,20/6/24,7/2/80,6446d35ae7b68b1b99b9199f5dbbd19d
