name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Le Van Hoai,BFT662532,4.0,1.0,0.0,30.96,576.0,75.96,1.0,1.0,0.49,0.25,7382.0,87000000,-3109930.694,84060557,17/3/25,2/6/87,8c96008e5b4756d993579a33884bce0b
Hoang Thi Hien,BFT828396,4.0,1.0,1.0,137.47,573.0,100.98,1.0,1.0,0.49,0.25,11263.0,87000000,905254.9858,87910239,16/6/24,7/8/90,5bae15eb0eb0d11d8d07c0941350548c
Duong Thi Dinh,BFT350226,3.0,1.0,1.0,78.1,253.0,84.95,0.0,0.0,0.35,0.11,7321.0,80000000,-5255321.0,74908128,25/11/24,5/6/83,9eb205b963ed39e7ab7d9887f52a4551
Hoang Thi Chi,BFT864043,4.0,1.0,0.0,51.16,537.0,58.07,2.0,1.0,0.63,0.33,11274.0,87000000,-1070474.442,85828641,12/7/24,14/10/80,e18885ba711970c9dcfa114968a3bdf3
Dinh Van Man,BFT927271,3.0,5.0,0.0,24.4,685.0,86.53,1.0,2.0,0.56,0.29,8822.0,80000000,2224552.932,82363162,6/7/24,19/5/86,980d3f9f8419773e9f6d7969f768b398
Duong Thi Tuyet,BFT655304,2.0,0.0,1.0,317.6,1045.0,118.43,3.0,1.0,0.49,0.47,12314.0,65000000,5653610.0,70423127,7/12/24,3/6/84,f691521745e0041e309bd8990da1a478
Le Van Tan,BFT136553,3.0,3.0,1.0,212.7,647.0,93.88,1.0,0.0,0.54,0.28,10911.0,120000000,3114254.367,123222198,18/2/25,26/6/80,f60c4a6d657d091c05e130b16a412126
Do Van Lanh,BFT739166,4.0,3.0,0.0,208.82,805.0,64.32,2.0,0.0,0.65,0.35,9139.0,250000000,5316338.821,255723155,4/11/24,26/11/81,4b3f6a038eaccbc7016db889099903dd
Tran Thi Van,BFT816130,2.0,2.0,1.0,193.03,576.0,65.25,1.0,1.0,0.49,0.25,13540.0,87000000,-262132.0,86725315,3/12/24,11/1/86,bbac22340591dac0c798f82652b69f8d
Hoang Thi Quyen,BFT504170,4.0,1.0,0.0,229.58999999999997,434.0,95.31,0.0,3.0,0.4,0.19,15070.0,80000000,-2573188.338,77445112,29/5/25,31/10/81,cc4e262f59a98ad29770277259fa2e8b
Nguyen Van Sang,BFT265215,3.0,3.0,1.0,266.15,576.0,68.62,1.0,0.0,0.49,0.25,9089.0,87000000,373688.679,87413321,13/2/25,27/4/81,cc3ec501731da602cb9c3c96512b887f
Hoang Van Van,BFT923869,5.0,2.0,1.0,8.52,384.0,109.3,0.0,2.0,0.38,0.17,8854.0,250000000,-1465526.563,248477375,23/4/25,7/11/84,dfca7bbbfec3fbcac71f49f43708a2d3
Tran Van Viet,BFT729664,2.0,3.0,0.0,128.77,491.0,96.14,0.0,1.0,0.44,0.21,3519.0,87000000,-3027853.584,83893839,14/1/25,29/12/81,a1737f008c32e1e2f4f65048b40b1020
Nguyen Van Hoang,BFT623551,4.0,1.0,1.0,134.02,493.0,65.05,1.0,1.0,0.48,0.25,5229.0,80000000,-968178.5028,79047904,9/1/25,25/9/87,568f5ea0a1b3e873da4a62aa5cbb2b17
Truong Thi Minh,BFT290344,3.0,2.0,0.0,139.27,686.0,92.36,1.0,0.0,0.56,0.29,6939.0,87000000,-962054.796,86081132,18/8/24,20/3/86,e6e2f7cc4874809f47465bc0a3af6ef1
Dang Van Hieu,BFT943833,3.0,5.0,1.0,140.52,737.0,57.32,2.0,0.0,0.34,0.31,9965.0,75000000,3214835.204,78106564,17/5/25,7/1/87,c2e80cea48ebc51983077e2f788ec296
Dang Van Lan,BFT705243,3.0,3.0,1.0,130.56,521.0,93.54,1.0,1.0,0.345,0.23,12753.0,92000000,986761.0146,93021386,11/7/24,21/11/81,265fbffae41ffea20936781eb1f048ba
Do Van Cuong,BFT186386,3.0,1.0,1.0,253.91,231.0,89.1,0.0,2.0,0.35,0.1,7639.0,56000000,-2407534.0,53506438,24/7/24,28/10/89,0c9c73f4de1990677aa63bed80dcb95e
Tran Thi Mai,BFT299984,3.0,2.0,1.0,76.75,568.0,42.76,1.0,1.0,0.93,0.25,11430.0,120000000,-364548.0,119635452,10/9/24,13/2/93,f12aa243d8996460bc5fd66df2a35bdc
Tran Thi Trang,BFT193923,3.0,0.0,1.0,138.48,652.0,69.41,1.0,1.0,0.54,0.28,14963.0,92000000,-930861.9216,91047809,4/7/24,15/6/87,1f176816c4a5e8f8cdcd0b2761df054f
Hoang Van Bach,BFT890521,3.0,2.0,1.0,125.83,715.0,58.4,0.0,2.0,0.58,0.3,7806.0,80000000,-441899.952,79512104,13/10/24,15/4/80,cb5f36d2ab0de5cf036ed4f20207a936
Hoang Van Giao,BFT575533,2.0,3.0,0.0,155.55,272.0,58.95,0.0,1.0,0.36,0.12,9612.0,65000000,-4369304.962,60352793,24/4/25,12/11/88,888cf1c0388e27bb178c8f548c62276a
Bui Van Thanh,BFT117368,5.0,1.0,0.0,66.87,497.0,82.55,1.0,1.0,0.44,0.21,13249.0,56000000,-1738322.012,54396328,3/2/25,29/11/89,506e69d854a990efe546fdc242e339f6
Vu Thi Thao,BFT458097,1.0,1.0,0.0,81.49,649.0,97.32,1.0,2.0,0.54,0.28,9696.0,75000000,-1212116.438,73831695,1/7/24,21/5/81,8b071a89263394843f8c96fc7d82a528
Pham Van Phuong,BFT279740,4.0,1.0,0.0,34.19,611.0,78.56,1.0,2.0,0.52,0.26,9116.0,87000000,-1579679.304,85223852,8/2/25,18/5/83,79d463f79ec5ed3789e2ca4be7fb2748
Le Thi Thanh,BFT463957,3.0,3.0,1.0,177.37,596.0,109.5,1.0,0.0,0.5,0.26,13558.0,92000000,3009299.879,94897458,25/3/25,23/10/81,a87b14723bcd159f1c47be2d1dbf98f3
Bui Van Hanh,BFT244303,6.0,3.0,1.0,175.61,493.0,80.15,1.0,1.0,0.44,0.21,4855.0,56000000,786663.0,56786663,14/9/24,14/8/83,abc30194fb64ee5c6e0e3e200da85181
Duong Thi Ly,BFT843302,2.0,1.0,1.0,191.765,684.0,77.73,1.0,1.0,0.56,0.29,8943.0,75000000,-207206.9203,74777603,16/10/24,22/5/84,7c7ae091e00174363f878cf92ca41737
Truong Van Duong,BFT339766,2.0,1.0,0.0,207.92,541.0,88.55,2.0,1.0,0.64,0.33,6267.0,45000000,-167695.672,44833514,12/5/25,26/10/87,2e838a2b651e5738d962525a7d0a49d0
Do Thi Lan,BFT293500,4.0,1.0,0.0,158.52,497.0,77.73,1.0,1.0,0.44,0.21,14373.0,45000000,-1569709.188,43577987,22/10/24,1/11/83,bf3ca056f46fd92818245a94af36a604
Dinh Van Phuc,BFT260240,5.0,2.0,1.0,113.47,346.0,42.68,2.0,1.0,0.36,0.15,9991.0,100000000,-4025462.0,95915310,6/12/24,1/1/85,04ed0ad4660d57a2365c45503b6b76e4
Truong Thi Chau,BFT407209,1.0,3.0,0.0,172.71,718.0,39.22,2.0,1.0,0.59,0.31,10772.0,50000000,-324575.104,49707020,14/4/25,2/7/81,63b7d773cb8ff69333096d468079d108
Hoang Thi Thu,BFT300986,2.0,1.0,1.0,182.85,994.0,100.24,3.0,1.0,0.75,0.42,13578.0,92000000,7177767.853,99613755,23/1/25,1/8/92,ad9b4079ee751d3dc17a1db8ed1ae2c5
Le Van Uyen,BFT182230,2.0,2.0,0.0,398.7,1099.0,127.67,0.0,0.0,0.49,0.51,21563.0,87000000,4105470.866,91085645,19/3/25,19/8/83,c33864b5e4d0f6ea3b10cdfd1fc62e19
Tran Van Nghi,BFT393990,0.0,0.0,1.0,129.54,529.0,141.89,1.0,0.0,0.46,0.23,3503.0,80000000,-3139009.41,77163048,22/1/25,29/3/89,59a39000882f088b606b7cad1beab0f6
Pham Thi Rang,BFT937536,2.0,0.0,0.0,153.35,695.0,49.22,2.0,0.0,0.57,0.29,6791.0,87000000,-3561119.148,83305893,26/10/24,9/4/80,e75af546516ce1155ed98b88ff3229eb
Tran Van Binh,BFT200485,3.0,2.0,0.0,185.06,536.0,49.73,2.0,1.0,0.63,0.33,13681.0,56000000,-303571.83,55696038,27/3/25,16/3/83,ca98658497a8de91a4601a9cc52b6bf0
Le Thi Nguyet,BFT166662,1.0,1.0,2.0,109.65,529.0,89.89,1.0,0.0,0.46,0.23,10688.0,75000000,214586.0,75223295,1/2/25,3/2/97,f3644869aef172f278d24cde26369bfd
Ngo Van Khiet,BFT217181,4.0,2.0,2.0,210.58,318.0,98.44,1.0,3.0,0.6,0.13,9797.0,92000000,3890598.134,95494482,5/10/24,20/5/94,3ef50dae0298eef70dd6c8addc38a2f0
Truong Van Ngan,BFT366713,2.0,2.0,1.0,170.88,333.0,39.13,0.0,2.0,0.29,0.15,8653.0,50000000,-2807905.6,46988360,20/3/25,11/6/95,7136931ae2419336f5ec2d2cdb22c7bb
Hoang Van Lien,BFT355634,5.0,4.0,1.0,127.79,640.0,114.65,1.0,1.0,0.53,0.27,10313.0,100000000,5824595.966,105916836,11/5/25,12/3/89,3591651843213c2f70482445a0de7835
Duong Van Lieu,BFT649953,2.0,2.0,0.0,172.39,523.0,77.86,1.0,1.0,0.46,0.23,7004.0,92000000,-2768094.62,89094474,25/8/24,12/8/84,64fe1df451e45808ae5db146ebb36fea
Vu Van Phat,BFT494662,2.0,1.0,0.0,96.09,591.0,99.31,1.0,1.0,0.5,0.25,11831.0,65000000,-1333703.0,63603306,23/10/24,17/6/88,99e733ee7ee07131ec77938734f92824
Duong Thi Anh,BFT714529,0.0,1.0,2.0,170.73,534.0,140.0,2.0,1.0,0.63,0.33,4256.0,65000000,3564288.129,68957699,3/5/25,23/3/85,7b7ca0edae34ef3073e2358b47ef3b50
Dang Van Thai,BFT545883,3.0,3.0,1.0,30.04,597.0,81.71,1.0,0.0,0.5,0.26,11265.0,80000000,672645.3876,80753576,12/2/25,27/9/85,98ccb93bdc00d25b3fe55ffc9179a5f1
Pham Thi Binh,BFT422297,2.0,1.0,0.0,60.45,450.0,99.69,0.0,0.0,0.41,0.19,12079.0,87000000,-5113104.896,81743930,9/9/24,25/5/81,61fe5336e6a9de6ece26e5d603dd00c7
Dang Van Thanh,BFT581549,3.0,0.0,0.0,205.59,925.0,80.27,3.0,1.0,0.71,0.4,9866.0,50000000,1562858.0,51604412,16/2/25,15/2/95,63d58417cc679273ed0b1e772e85d51f
Ngo Van Long,BFT470562,1.0,5.0,1.0,34.56,683.0,85.77,1.0,1.0,0.56,0.29,13426.0,80000000,3192853.98,83403294,16/9/24,22/5/81,85796426e7ffd36ee1cb56751748b8ae
Nguyen Van Kim,BFT534018,2.0,3.0,2.0,23.12,676.0,96.74,1.0,1.0,0.56,0.29,10226.0,56000000,3009512.572,58880344,6/9/24,26/1/93,7d081dbb1a15c29ebe02c484fe5ff7d9
Tran Thi Uyen,BFT186365,3.0,2.0,1.0,96.45,1169.0,117.0,4.0,4.0,0.49,0.61,5795.0,50000000,7848750.0,57500000,28/2/25,5/9/82,4e59122a74af9b24ba97c360b17014e5
Truong Thi Mai,BFT906239,1.0,2.0,0.0,72.43,576.0,108.64,1.0,1.0,0.49,0.25,5972.0,56000000,-982320.6231,55061507,27/7/24,4/2/81,d0f10c9b40bd047864bd15f1cd3348e1
Vu Van Thuan,BFT418833,3.0,1.0,1.0,142.88,578.0,75.31,1.0,0.0,0.5,0.25,11566.0,50000000,-649397.62,49319575,28/5/25,26/7/85,638bc05e5e702ed2c5573712e4ea87b8
Hoang Thi Kim,BFT552683,1.0,2.0,0.0,67.9,748.0,51.86,2.0,0.0,0.6,0.32,11571.0,56000000,-826937.5754,55123914,13/7/24,13/7/93,acc5490dd0748c42fb335dccfc1d1c3e
Dang Van Nhi,BFT463631,2.0,2.0,1.0,141.58,769.0,65.38,1.0,4.0,0.46,0.23,19865.0,92000000,2564972.0,94564972,5/12/24,29/7/83,206440acf8078bdd76aa086c4c06f004
Tran Thi Dien,BFT126402,1.0,1.0,1.0,116.42,665.0,86.92,1.0,1.0,0.55,0.28,11162.0,87000000,-87411.45,86912765,15/10/24,8/10/84,da7024b7ff9aab5a20fb13bfaada2720
Hoang Van Tu,BFT357416,2.0,2.0,0.0,32.15,585.0,91.03,1.0,0.0,0.5,0.25,12019.0,92000000,-2259945.106,89775127,22/12/24,15/3/85,c1f07a94402c5125cc43588129481090
Vu Van To,BFT541514,4.0,1.0,0.0,95.27,783.0,73.6,1.0,0.0,0.37,0.23,16271.0,87000000,-2260124.0,84633626,30/3/25,3/2/92,1b7753692684961e99c5170a23cee2e9
Dinh Van Thai,BFT871557,3.0,3.0,0.0,206.78,602.0,79.12,1.0,1.0,0.51,0.26,10618.0,250000000,-1009003.054,249049650,10/10/24,22/8/83,826df9aba2f87deda9e39ee087bf82c2
Do Thi Mai,BFT321968,3.0,1.0,1.0,190.17,460.0,78.2,0.0,0.0,0.42,0.2,12281.0,75000000,-2749726.633,72053280,6/5/25,22/7/90,87b573258b5a893e42a86292d0c80013
Hoang Van San,BFT986694,2.0,2.0,1.0,140.06,696.0,67.81,2.0,1.0,0.57,0.29,8514.0,80000000,1722907.0,81655209,24/6/24,12/9/82,2f9047a9e667d4467291b6dd52be50a4
Dang Van Duan,BFT552651,2.0,0.0,1.0,73.84,733.0,84.79,2.0,2.0,0.32,0.31,8277.0,87000000,769780.1209,87763703,29/1/25,25/3/81,6bd85583c084185b1b491adbae1a0af8
Do Van Mau,BFT975601,8.0,2.0,0.0,160.63,527.0,91.94,1.0,0.0,0.46,0.23,3512.0,56000000,-534810.0,55452936,30/9/24,14/6/83,b261e808a34f9dd161bbde4d0348d43c
Le Van Dong,BFT112067,2.0,4.0,1.0,167.77,665.0,72.78,1.0,1.0,0.55,0.28,13101.0,80000000,2221647.977,82409818,7/8/24,3/4/94,78b0e3f778819284f4cb6e7963720a22
Hoang Van Lam,BFT784765,4.0,3.0,0.0,69.36,445.0,96.37,3.0,0.0,0.41,0.19,12574.0,45000000,754316.1428,45768769,23/8/24,4/6/90,c6b11506092081226ac4ced32a360cb2
Do Van Thien,BFT575799,5.0,2.0,1.0,40.05,419.0,88.97,0.0,0.0,0.4,0.18,12146.0,50000000,-1210860.0,48819710,11/9/24,29/3/84,ac1db6aba1e0eff64b86aef4c20d3b58
Hoang Van Phuc,BFT287165,3.0,2.0,0.0,229.82,462.0,74.07,0.0,2.0,0.42,0.2,5516.0,56000000,-2821403.159,53407642,28/1/25,15/1/94,f338fa226f97e56dd684df31ec0fcb54
Do Van Huan,BFT202569,1.0,1.0,1.0,120.37,793.0,72.48,2.0,0.0,0.64,0.33,13556.0,50000000,860161.0,50836488,19/11/24,30/12/82,031197a4e9af82069d03eca717abfcad
Bui Van Lanh,BFT857843,4.0,3.0,1.0,168.86,753.0,96.59,2.0,1.0,0.61,0.32,7143.0,56000000,3492555.802,59460796,6/8/24,28/1/87,0d89d50c0903cbaa77966b5009bf44fa
Vu Thi Hang,BFT805797,3.0,1.0,0.0,35.04,557.0,98.34,1.0,1.0,0.48,0.24,15027.0,50000000,-1004179.993,48994500,5/2/25,20/6/94,c25b2516cee5194fd9447588b4922f47
Nguyen Thi Khanh,BFT524006,3.0,1.0,1.0,63.72,745.0,117.42,2.0,0.0,0.6,0.31,10673.0,80000000,3014356.279,83223221,19/7/24,23/1/88,fe504433f465a1e785ae7d23cd3ff6f1
Tran Van Phuc,BFT582838,1.0,1.0,2.0,171.7,610.0,95.53,1.0,1.0,0.52,0.26,7842.0,250000000,4940972.0,255140955,22/6/24,25/11/83,3206c30254d0eac4ffd38708198f1b95
