name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Tran Thi Nhung,BFT239940,5.0,2.0,1.0,35.0,422.0,76.44,0.0,1.0,0.4,0.18,10161.0,250000000,-6468250.0,243531750,14/3/25,14/11/87,61b5374d31a5008b5f25cec9873134c0
Vu Thi Lan,BFT857180,1.0,2.0,0.0,100.99,596.0,61.9,1.0,1.0,0.5,0.26,4612.0,80000000,-3281502.791,76691800,18/2/25,14/4/85,400c254e84656c0b327615bb5a32d466
Dang Van Uyen,BFT520163,4.0,3.0,0.0,85.15,1123.0,83.75,0.0,2.0,0.49,0.54,12307.0,80000000,3379395.0,83202914,19/5/25,11/11/81,5b140d47e35da941643febeadad1e1f8
Pham Thi Nga,BFT956290,1.0,0.0,0.0,94.08,830.0,140.0,2.0,0.0,0.66,0.36,9951.0,56000000,1223009.679,57210579,19/7/24,10/11/81,053194e834185a0aaf7f4fdd6c315cb5
Duong Thi Trang,BFT166094,6.0,1.0,1.0,34.15,381.0,70.11,0.0,0.0,0.47,0.17,10315.0,87000000,-3518914.647,83246089,24/2/25,6/7/81,77b49dc029dd4d85231d8caa08df4878
Truong Thi Hanh,BFT750042,3.0,3.0,0.0,111.67,467.0,82.36,0.0,3.0,0.42,0.2,12347.0,92000000,-1856538.0,90038937,13/10/24,7/4/84,5b140d47e35da941643febeadad1e1f8
Duong Van Son,BFT873019,3.0,2.0,0.0,211.17,493.0,78.42,0.0,3.0,0.42,0.21,15417.0,87000000,-2520618.288,84732771,2/11/24,8/7/81,65130f4fc57ea4427d3a95bb26ce5f5e
Dang Van Tai,BFT125375,3.0,4.0,1.0,218.72,463.0,84.91,0.0,0.0,0.42,0.2,5994.0,300000000,-2545590.0,297454410,19/12/24,7/1/81,ffd25ebaa102396eafa0e860c8b9f457
Bui Thi Van,BFT532106,3.0,5.0,1.0,147.92,711.0,69.64,0.0,1.0,0.58,0.3,6750.0,87000000,2272822.965,89167690,28/12/24,10/6/81,c1e2f39aa18bb6b7f4478fad05318165
Do Van An,BFT601184,3.0,2.0,0.0,143.19,598.0,52.48,1.0,1.0,0.5,0.26,6595.0,250000000,-8917563.6,241114525,5/3/25,2/3/85,acd86e55633556c409ed4c9245c7eee9
Dang Van Bao,BFT217748,2.0,1.0,0.0,116.32,501.0,100.04,1.0,0.0,0.45,0.22,4312.0,50000000,-2140068.532,47863970,18/9/24,11/9/88,27f7adc2b1146dc9adff987ca5eb5f42
