name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Dang Thi Huong,BFT836628,3.0,1.0,1.0,181.12,579.0,64.49,1.0,0.0,0.5,0.25,8979.0,87000000,-1895945.043,85179951,14/8/24,14/6/90,5fd4e8af24b250bbda1eb37f87bc45fa
Nguyen Van Hoa,BFT811329,1.0,2.0,2.0,82.1,422.0,90.29,0.0,1.0,0.4,0.18,7881.0,87000000,-1543745.0,85456255,24/4/25,9/4/82,5933c7e6de6a9b312c4cc6960246fc8c
Do Van Thuan,BFT317781,3.0,2.0,0.0,64.6,428.0,96.63,0.0,1.0,0.4,0.19,13625.0,75000000,-3059295.0,71940705,6/12/24,25/10/92,3d927824d839a47993bbf6f0a478a8b3
Hoang Thi Hoa,BFT191162,1.0,2.0,1.0,147.3,510.0,51.3,1.0,2.0,0.45,0.22,7346.0,56000000,-1265449.0,54734551,11/4/25,21/9/91,db557327e6a923329bc4351d7ef91af7
Pham Thi Lan,BFT917928,3.0,2.0,1.0,594.82,458.0,48.05,0.0,1.0,0.41,0.2,9255.0,87000000,-2559776.0,84358332,11/8/24,15/1/90,74b6ed0b6fee773a8491d5430021af0a
Dang Van Uy,BFT372358,5.0,3.0,0.0,190.14,711.0,86.6,0.0,1.0,0.58,0.3,7829.0,250000000,-28763.268,249971200,9/7/24,7/6/85,272526a64faa88d63b2dbe39f5585081
Pham Van Thanh,BFT285785,4.0,2.0,1.0,163.55,596.0,105.08,1.0,0.0,0.5,0.26,11156.0,45000000,953471.5074,45888797,5/5/25,28/7/97,3772e777220b0a4be1bd7bf81598744d
Ngo Van Linh,BFT251638,0.0,3.0,0.0,76.66,754.0,67.03,2.0,0.0,0.61,0.32,7306.0,45000000,-157669.6296,44842347,22/3/25,26/11/92,564e9bdc528893b73fafc2cc63657df6
Ngo Thi Dung,BFT922205,3.0,3.0,0.0,80.27,493.0,48.47,1.0,2.0,0.44,0.21,6125.0,75000000,-2422152.341,72424890,16/8/24,9/5/93,1b213accb0a5bf87e41ea32d35cfa350
Le Van Linh,BFT652401,3.0,3.0,0.0,146.08,599.0,81.17,1.0,1.0,0.51,0.26,12321.0,50000000,-153070.1718,49849490,22/6/24,31/8/87,751fa7682840b5c5564a6e71d0ea2c91
Ngo Thi Thao,BFT205055,1.0,0.0,1.0,152.45,400.0,95.09,0.0,1.0,0.39,0.17,14586.0,87000000,-4095191.333,82891147,29/7/24,30/12/86,cf71345f8821822a14f87b71be05270f
Hoang Thi Huong,BFT584772,3.0,2.0,1.0,210.05,591.0,77.03,1.0,1.0,0.5,0.25,9349.0,80000000,453242.4,80413875,5/1/25,27/2/93,5a40985276c7e72abd5502c901c6a582
Do Van Hoa,BFT855307,0.0,3.0,1.0,33.46,632.0,67.65,1.0,0.0,0.52,0.27,9042.0,80000000,-680060.5812,79268640,10/11/24,30/12/94,e33cd1d05a20c9f6f45cb6227a4a545e
Nguyen Van Kien,BFT899444,3.0,3.0,0.0,14.51,442.0,75.19,0.0,0.0,0.41,0.19,11129.0,75000000,-3666023.514,71125530,14/9/24,17/4/82,22dc2c45796e30ae45203cc655c8ed23
Hoang Thi Nhan,BFT615177,3.0,4.0,1.0,131.63,530.0,75.76,1.0,2.0,0.46,0.23,7615.0,75000000,1640360.098,76675460,27/11/24,26/5/88,d2cf052ef4aa87de2c3de9842ebc7770
Pham Van Kien,BFT314066,1.0,1.0,2.0,114.17,519.0,103.67,1.0,0.0,0.45,0.23,5165.0,45000000,233162.0,45223678,18/5/25,17/1/84,78e4c93927daa2c5308c4f3337d775d1
Ngo Van Ha,BFT479920,4.0,3.0,1.0,74.2,506.0,108.24,1.0,0.0,0.45,0.22,7927.0,50000000,860938.6805,50849382,16/2/25,22/8/02,fdf202d14dc92d3f9989c6c72e39a132
Do Van Bo,BFT507549,4.0,2.0,2.0,97.17,715.0,83.04,2.0,0.0,0.58,0.3,11730.0,50000000,2616868.678,52900653,20/12/24,3/10/83,b52f16c25614082077752e0dcd95450d
Dinh Van Long,BFT872289,4.0,2.0,1.0,135.45,807.0,55.65,2.0,0.0,0.65,0.35,11887.0,75000000,2357915.0,77357915,7/5/25,14/2/84,02dbf76c5c8d4aaf8aaffa55f51ff26e
Do Van Hoai,BFT774537,1.0,1.0,1.0,240.16,447.0,98.52,3.0,1.0,0.41,0.19,12505.0,250000000,4679743.763,255102960,30/8/24,30/10/83,50a59573f431b07ea41f7506d08d31a9
Duong Van Huy,BFT546636,2.0,3.0,1.0,149.26,795.0,78.09,2.0,0.0,0.64,0.34,11299.0,75000000,3531584.0,78361812,7/8/24,25/2/86,697a327f8a42b27b2732a7d2ef5a8f2e
Bui Van Vuong,BFT647677,4.0,3.0,0.0,131.04,476.0,68.12,0.0,0.0,0.42,0.21,5921.0,100000000,-5111579.52,95069850,22/5/25,15/4/87,77551c941639784f97c49b86f642f1ad
Dinh Van Son,BFT679840,2.0,3.0,0.0,213.44,884.0,100.98,3.0,1.0,0.69,0.38,12149.0,250000000,1.78661565E7,267384603,20/5/25,11/1/85,60a7401783271dfc4ffc0a903baa6ea8
Dang Van Sang,BFT271507,4.0,1.0,1.0,83.53,604.0,89.36,1.0,1.0,0.51,0.26,7089.0,250000000,363654.0,250382150,5/11/24,20/10/84,408e23481cac3a0a482da93090489862
Nguyen Thi Nga,BFT250401,2.0,1.0,0.0,221.0,484.0,91.1,0.0,1.0,0.43,0.21,10513.0,50000000,-2423953.603,47436055,17/4/25,25/5/91,e1a6bf2d9718d2fabaaf32ca6d0aa2d7
Ngo Van Tien,BFT401351,1.0,2.0,1.0,302.0,1036.0,115.9,3.0,0.0,0.79,0.46,6052.0,75000000,6569754.282,82126580,12/3/25,13/2/82,28dfd0678d59a26362a90f9aa3a1b4a4
Dang Thi Huong,BFT471527,3.0,3.0,1.0,90.26,471.0,59.89,0.0,0.0,0.42,0.2,5653.0,87000000,-3210953.0,83789048,20/6/24,29/3/93,b55975720737784a6a056eeea0fcb1f6
Le Van Thien,BFT284254,2.0,2.0,1.0,69.12,702.0,77.27,2.0,0.0,0.57,0.3,3579.0,250000000,3460718.016,253480550,31/8/24,19/9/85,f9def70ccfdb4c229aedeb6c9a098562
Dang Thi Ai,BFT240482,1.0,2.0,0.0,129.4,546.0,84.07,1.0,1.0,0.47,0.24,6662.0,250000000,-7647982.0,242172775,20/5/25,24/2/89,59831f2dbd7eb32f934c32f14e71454a
