id,name,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,payment_due,birth_date,phash,predicted_perc,csh_dis,final
BFT546505,Hoang Van Du,4.0,2.0,0.0,135.11,730.0,71.42,2.0,1.0,0.32,0.31,11123.0,80000000,14/11/24,2/5/92,619efc7c489484f4bdffe1fab6bcaf6a,0.37007307908188736,296058.46326550987,7.970394153673449E7
BFT603188,Duong Van Tuan,2.0,1.0,0.0,58.5,589.0,109.43,1.0,2.0,0.5,0.25,10321.0,120000000,21/3/25,4/11/88,3d0c9effeadc602028312f69c8df6d3e,-1.2017532025686037,-1442103.8430823246,1.2144210384308232E8
BFT861069,Bui Van Tai,2.0,1.0,1.0,125.86,554.0,97.31,1.0,1.0,0.48,0.24,10789.0,75000000,21/1/25,23/8/84,bab74467b0f389545483e39a798cf75a,-0.291032200344862,-218274.1502586465,7.521827415025865E7
BFT807739,Tran Van Thong,4.0,2.0,0.0,20.0,780.0,45.77,1.0,0.0,0.37,0.23,10156.0,80000000,7/2/25,12/4/82,15dc78abadd4b137524cfbb672e76891,-4.038785024093318,-3231028.019274655,8.323102801927465E7
BFT721551,Pham Van Nam,4.0,2.0,0.0,4.38,499.0,113.23,1.0,2.0,0.45,0.22,12932.0,92000000,19/11/24,31/7/92,0e44266e0f9e9ba0e8c2775cc935ba50,0.09435368688477297,86805.39193399114,9.191319460806601E7
BFT791066,Duong Van Kien,1.0,3.0,1.0,167.71,482.0,85.35,0.0,1.0,0.43,0.21,8680.0,75000000,21/3/25,23/3/81,c8a1ace767ae91b352f402fb211a0d01,-1.775919482269959,-1331939.6117024694,7.633193961170247E7
BFT450419,Dang Thi Mai,1.0,3.0,0.0,226.23,815.0,92.23,2.0,0.0,0.65,0.36,7279.0,80000000,12/5/25,4/3/88,26c4576e016478b0c4be6fb41d06b6cb,2.67061857130404,2136494.857043232,7.786350514295676E7
BFT148685,Nguyen Van Hoang,2.0,2.0,1.0,105.33,613.0,100.79,1.0,1.0,0.52,0.26,9283.0,65000000,10/10/24,25/6/84,129ea09efa4a322e653eadd601a00f36,1.3881975170061445,902328.386053994,6.4097671613946006E7
BFT363575,Nguyen Van Kim,4.0,2.0,0.0,130.47,590.0,90.94,1.0,1.0,0.5,0.25,9435.0,87000000,8/3/25,17/3/90,cfcc71e308fba844351d0fdb8667a562,-0.9342657069673592,-812811.1650616025,8.781281116506161E7
BFT484755,Bui Van Ty,3.0,1.0,0.0,115.58,655.0,71.02,1.0,1.0,0.54,0.28,11862.0,65000000,6/3/25,30/3/87,a3808f877a96e2b65d1889fedd42414f,-2.614183437688414,-1699219.2344974692,6.669921923449747E7
BFT256671,Ngo Van Hung,3.0,2.0,0.0,72.43,502.0,74.41,1.0,1.0,0.45,0.22,12846.0,45000000,25/5/25,28/7/96,c19ec4b09ca8a13c472480897f3e2d88,-2.9748681591637407,-1338690.6716236833,4.6338690671623684E7
BFT478433,Ngo Van Bao,2.0,4.0,1.0,8.97,618.0,85.98,1.0,1.0,0.52,0.27,12317.0,87000000,14/11/24,16/10/84,2c7a06bdeeac0252e89bdc41a7394cec,2.8311701851331286,2463118.061065822,8.453688193893418E7
BFT239418,Le Van Hieu,3.0,0.0,1.0,215.63,542.0,87.41,2.0,2.0,0.64,0.33,13888.0,80000000,13/12/24,8/1/88,b5f37ad0d85f4b99777a2e437165e168,2.6128409604029272,2090272.7683223418,7.790972723167765E7
BFT407691,Duong Van Phat,4.0,3.0,1.0,98.42,346.0,98.57,2.0,0.0,0.36,0.15,12079.0,92000000,17/1/25,14/3/98,c0ef025319571a5637fd5cc5e0270a48,1.537541367207787,1414538.057831164,9.058546194216883E7
BFT261226,Truong Van Hao,3.0,2.0,1.0,122.96,598.0,85.96,1.0,1.0,0.5,0.26,13043.0,100000000,7/7/24,21/10/89,1e3190999ac840d00f680d4e597f14d5,1.2119267397392832,1211926.7397392832,9.878807326026072E7
BFT670667,Duong Van Minh,4.0,2.0,1.0,108.86,565.0,84.58,1.0,2.0,0.85,0.24,12612.0,87000000,22/12/24,29/9/82,440870bff423031beae6a3457a6dceab,3.073794702936027,2674201.3915543435,8.432579860844566E7
BFT980027,Tran Thi Thao,5.0,4.0,1.0,152.28,590.0,82.6,1.0,0.0,0.5,0.25,10498.0,50000000,21/1/25,10/6/94,5beb5b9c777a140148844747aa48d17b,3.0012947169475908,1500647.3584737955,4.849935264152621E7
BFT520429,Le Van Hoang,3.0,3.0,0.0,190.54,395.0,70.04,0.0,1.0,0.38,0.17,11383.0,120000000,3/3/25,29/10/83,a74e49635b3808c961c3ac7eac7750d8,-4.845724004317782,-5814868.805181338,1.2581486880518134E8
BFT999042,Vu Thi Tuyet,2.0,3.0,0.0,165.87,711.0,95.74,0.0,2.0,0.58,0.3,12835.0,65000000,21/3/25,13/4/83,cc0313a949231c4753332c9cf4d8242d,0.36494224008081844,237212.45605253198,6.4762787543947466E7
BFT365409,Le Thi Vu,0.0,2.0,1.0,127.83,545.0,104.5,1.0,2.0,0.47,0.24,6789.0,65000000,28/3/25,11/1/88,cd78fb80cc722119cc7fa583169c1b7f,0.6074921213259081,394869.8788618403,6.460513012113816E7
