id,name,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,payment_due,birth_date,phash,predicted_perc,csh_dis,final
BFT502736,Nguyen Van Dong,2.0,2.0,2.0,203.83,567.0,93.92,1.0,1.0,0.9,0.25,9029.0,65000000,7/5/25,16/9/85,a7cf6000119b487359abf974f450bf74,4.691005087346436,3049153.306775184,6.195084669322482E7
BFT989303,Duong Van Minh,2.0,1.0,0.0,101.5,331.0,101.83,0.0,1.0,0.28,0.15,13008.0,80000000,3/10/24,8/6/81,4da457ea82407928a3614334725b2b11,-6.546908918084526,-5237527.134467621,8.523752713446762E7
BFT963082,Le Thi Thao,3.0,1.0,0.0,109.95,479.0,66.8,0.0,0.0,0.43,0.21,9756.0,75000000,28/3/25,4/3/94,f14b81be0d672b3f7e5ac6865dfe2c99,-7.304422295437876,-5478316.721578407,8.04783167215784E7
BFT974726,Hoang Van Nghia,2.0,1.0,1.0,71.44,836.0,87.27,2.0,2.0,0.66,0.36,11051.0,45000000,5/2/25,12/2/91,239dd54d40777c7ffcfe23d12999e9b3,4.450528089526497,2002737.6402869236,4.299726235971308E7
BFT580473,Bui Thi Thu,3.0,2.0,0.0,121.05,549.0,62.49,1.0,0.0,0.48,0.24,7860.0,45000000,12/8/24,15/6/89,22dcd2f3517205ab2b0334e6674f03c9,-4.162096196312444,-1872943.2883405997,4.68729432883406E7
BFT939678,Bui Thi Binh,4.0,1.0,1.0,220.07,715.0,96.21,2.0,1.0,0.58,0.3,9188.0,250000000,19/8/24,22/3/84,14c74a8d2c32db14c0bfa74f0b134c36,3.908873187405625,9772182.968514062,2.4022781703148594E8
BFT574730,Bui Thi Hang,4.0,2.0,1.0,182.695,632.0,67.59,1.0,0.0,0.52,0.27,11624.0,250000000,13/4/25,24/9/90,f768cdf97ef690152282305a09d5dd61,0.25247226230081665,631180.6557520416,2.4936881934424797E8
BFT260221,Pham Thi Nhan,3.0,2.0,1.0,145.32,335.0,83.02,0.0,1.0,0.31,0.15,6450.0,65000000,31/7/24,23/3/90,0aff444260f217e501b49f3aa7a1af3d,-4.145969504628383,-2694880.178008449,6.769488017800845E7
BFT876062,Bui Van Linh,2.0,3.0,1.0,19.73,682.0,68.45,1.0,0.0,0.56,0.29,5412.5,75000000,3/12/24,18/6/84,933fc96cdfe9d5ed5a4feccfbce7560a,0.0855603733644017,64170.280023301275,7.49358297199767E7
BFT679954,Bui Thi Chien,3.0,2.0,0.0,153.51,224.0,93.91,0.0,2.0,0.24,0.1,4375.0,75000000,16/9/24,14/9/82,0f1dd4673629cc550b473e399c4f1f3c,-6.634951159929017,-4976213.369946763,7.997621336994676E7
BFT309147,Dang Thi Quyen,2.0,3.0,0.0,110.88,877.0,46.09,2.0,0.0,0.68,0.38,7488.0,87000000,21/11/24,11/4/85,535c593d5471e13a5630ddf5c0a85592,0.7522226947765027,654433.7444555573,8.634556625554444E7
BFT732317,Dinh Van Kim,1.0,3.0,1.0,120.56,605.0,41.25,1.0,0.0,0.51,0.26,10276.0,65000000,24/2/25,9/1/85,2ffaca710d2ab9bd057e815c823c765f,-1.9129885472204187,-1243442.5556932723,6.624344255569327E7
BFT615796,Bui Thi Thom,1.0,3.0,1.0,62.47,649.0,49.96,1.0,1.0,0.54,0.28,10431.0,80000000,22/5/25,27/5/02,f130d72fb2776e06e918caa95180704f,-0.39286871088016184,-314294.96870412945,8.031429496870413E7
BFT223951,Tran Van Khieu,3.0,1.0,1.0,212.03,517.0,95.25,1.0,1.0,0.45,0.22,10431.0,75000000,14/11/24,7/5/83,aa471f90398bfe3c15d2ec6d9426e8f9,-0.2635643986406535,-197673.29898049013,7.519767329898049E7
BFT212383,Truong Thi Vy,3.0,2.0,1.0,32.88,657.0,70.24,1.0,0.0,0.54,0.28,12304.0,56000000,11/3/25,5/3/88,7bc03afb05be816070edde4744f530b3,-0.0668870534238657,-37456.74991736479,5.6037456749917366E7
BFT159944,Bui Van Tien,3.0,1.0,1.0,48.94,378.0,72.35,0.0,1.0,0.47,0.17,10967.0,56000000,1/8/24,29/1/87,3b4c414873aed044b94fbce30d48f4ea,-4.688899408125792,-2625783.6685504434,5.862578366855045E7
BFT357128,Pham Van Nhac,4.0,2.0,2.0,134.06,529.0,87.07,1.0,1.0,0.46,0.23,9630.0,65000000,2/7/24,24/7/82,86eb89f15f9842b1d0c0b4cb4a6de693,3.002783469641596,1951809.2552670373,6.304819074473296E7
BFT375273,Duong Van Lam,4.0,2.0,0.0,142.88,472.0,111.04,0.0,0.0,0.42,0.2,10961.0,45000000,3/5/25,20/6/83,e0df09165832b5a5fcd5ce7d1642de7c,-3.2782131117864886,-1475195.9003039198,4.647519590030392E7
BFT696165,Tran Thi Loan,5.0,1.0,1.0,88.62,809.0,89.06,2.0,1.0,0.65,0.35,13602.0,87000000,12/3/25,27/11/87,30de369a0c2cddf2966125d8feacf005,5.103641029540583,4440167.695700307,8.25598323042997E7
BFT338558,Ngo Van Thanh,5.0,2.0,0.0,138.55,497.0,62.78,1.0,1.0,0.44,0.21,6977.0,250000000,26/6/24,17/11/94,9752c7b2de5abcc9d40468b9e59d9595,-3.362642927830759,-8406607.319576899,2.584066073195769E8
BFT127588,Dinh Van Dat,0.0,3.0,0.0,22.31,494.0,64.94,1.0,1.0,0.44,0.21,13120.0,75000000,13/8/24,10/3/85,beb6f4f82438e3a582da8f36b0eb65dc,-3.8975565266549417,-2923167.3949912065,7.79231673949912E7
BFT121789,Dinh Van Tam,4.0,2.0,0.0,195.69,560.0,35.82,1.0,1.0,0.48,0.24,11936.0,65000000,17/11/24,3/2/82,edd2e312ac9a762c1aac3e7fa458c19a,-3.9277016454523235,-2553006.0695440103,6.755300606954402E7
BFT873704,Duong Thi Thu,4.0,1.0,0.0,151.6,618.0,61.42,1.0,1.0,0.52,0.27,10622.0,80000000,12/10/24,22/12/89,fd73835a94cc75281af5adcdcef0dea5,-3.1233767128252694,-2498701.370260216,8.249870137026021E7
BFT223719,Bui Van Thao,4.0,3.0,0.0,148.96,471.0,82.81,0.0,0.0,0.42,0.2,5861.0,80000000,9/3/25,30/7/93,5fabcbbe409751ff712ef8920fee5cc3,-4.280312428040865,-3424249.9424326923,8.342424994243269E7
