id,name,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,payment_due,birth_date,phash,predicted_perc,csh_dis,final
BFT142185,Bui Thi An,3.0,3.0,1.0,234.84,546.0,86.65,1.0,0.0,0.43,0.24,12039.0,80000000,11/8/24,5/9/91,cbe2e9cfffd64b40635a26443c0d2d43,1.177745973869964,942196.7790959713,7.905780322090402E7
BFT643571,Pham Thi Dao,4.0,1.0,2.0,204.22500000000002,473.0,71.5,0.0,0.0,0.42,0.21,13995.0,50000000,17/3/25,14/2/83,d8970d45d99d88dcb9c188b57b59fc2e,-1.284571148956882,-642285.574478441,5.064228557447844E7
BFT372018,Pham Thi Le,0.0,1.0,1.0,173.61,639.0,83.67,1.0,0.0,0.53,0.27,13119.0,56000000,21/1/25,13/5/90,663b8293b4c19f99fa781bd513024e1c,-1.3111535878420675,-734246.0091915578,5.673424600919156E7
BFT720794,Vu Van Quy,3.0,2.0,1.0,6.37,872.0,88.22,2.0,1.0,0.68,0.30500000000000005,12243.0,75000000,1/5/25,21/11/84,98860d6ad807b14c5619474be1f3bff1,5.058314271003034,3793735.703252276,7.120626429674773E7
BFT675666,Hoang Thi Lien,3.0,2.0,0.0,56.88,802.0,96.47,2.0,1.0,0.65,0.34,6750.0,80000000,25/11/24,9/12/89,7f3bdb6543a7aef3847bd52ef450f957,2.557336711441252,2045869.3691530016,7.795413063084699E7
BFT836260,Pham Thi Dat,4.0,2.0,2.0,1.59,503.0,93.56,1.0,2.0,0.45,0.22,12064.0,250000000,8/9/24,28/11/86,4e844115d08ded8a8d3ac9922905693f,3.6620478093571336,9155119.523392834,2.4084488047660717E8
BFT187469,Do Van Lam,5.0,3.0,0.0,172.41,592.0,81.49000000000001,1.0,1.0,0.5,0.25,3538.0,50000000,5/4/25,25/4/85,31ebb6231b024cce51345229f3910f27,-0.4403781532907516,-220189.07664537578,5.0220189076645374E7
BFT736554,Nguyen Van Lam,3.0,2.0,0.0,57.67,637.0,69.42,1.0,1.0,0.53,0.27,9012.0,200000000,10/1/25,18/10/80,a8a5a4aa1a557344818bdb54269e8700,-2.2784766508390817,-4556953.301678163,2.0455695330167815E8
BFT747881,Pham Van Linh,3.0,0.0,0.0,135.87,433.0,45.24,0.0,0.0,0.4,0.19,8501.0,92000000,19/5/25,26/5/93,3d98b9771174a4de2eec92cd3aa1fcf7,-10.152605770953084,-9340397.309276838,1.0134039730927683E8
BFT408747,Bui Van Tu,2.0,3.0,2.0,152.12,607.0,81.51,1.0,1.0,0.51,0.26,10552.0,50000000,25/7/24,20/4/81,fc1aff92b6a2f7d896a6ff40912dcf7b,3.935945571421911,1967972.7857109555,4.803202721428905E7
